index,hmdb_id,metabolite,smiles,n_diseases
180,HMDB0034220,Levoinositol,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,1
181,HMDB0031598,"2,3-Pentanedione",CCC(=O)C(C)=O,1
182,HMDB0034168,Toluene,CC1=CC=CC=C1,1
183,HMDB0033944,2-Phenylethanol,OCCC1=CC=CC=C1,1
184,HMDB0033910,Acetophenone,CC(=O)C1=CC=CC=C1,1
185,HMDB0033890,Methyl butyrate,CCCC(=O)OC,1
186,HMDB0033889,Ethyl butyrate,CCCC(=O)OCC,1
187,HMDB0033844,beta-Cryptoxanthin,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,1
188,HMDB0033713,2-Undecanone,CCCCCCCCCC(C)=O,1
189,HMDB0033620,Hexyl butyrate,CCCCCCOC(=O)CCC,1
190,HMDB0033547,3-Octen-2-one,CCCC\C=C\C(C)=O,1
191,HMDB0033182,"2,5-Dimethylfuran",CC1=CC=C(C)O1,1
192,HMDB0033167,Ethyl cyclohexanecarboxylate,CCOC(=O)C1CCCCC1,1
193,HMDB0033119,3-Methylthiophene,CC1=CSC=C1,1
194,HMDB0033002,5-Methyl-2-furancarboxaldehyde,CC1=CC=C(O1)C=O,1
195,HMDB0032980,"3,4-Dimethylthiophene",CC1=CSC=C1C,1
196,HMDB0032972,"2,6-Dimethylpyridine",CC1=CC=CC(C)=N1,1
197,HMDB0032914,2-Furancarboxaldehyde,O=CC1=CC=CO1,1
198,HMDB0032619,1-Phenylethanol,CC(O)C1=CC=CC=C1,1
199,HMDB0032076,1-Methoxy-4-methylbenzene,COC1=CC=C(C)C=C1,1
200,HMDB0031872,Methyl propyl disulfide,CCCSSC,1
201,HMDB0003355,5-Aminopentanoic acid,NCCCCC(O)=O,1
202,HMDB0002789,Zeaxanthin,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,1
203,HMDB0003339,D-Glutamic acid,N[C@H](CCC(O)=O)C(O)=O,1
204,HMDB0003337,Oxidized glutathione,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,1
205,HMDB0000289,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,1
206,HMDB0000286,Uridine diphosphate glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,1
207,HMDB0000267,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1,1
208,HMDB0000258,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1
209,HMDB0000254,Succinic acid,OC(=O)CCC(O)=O,1
210,HMDB0000247,Sorbitol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1
211,HMDB0000243,Pyruvic acid,CC(=O)C(O)=O,1
212,HMDB0000239,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,1
213,HMDB0000230,N-Acetylneuraminic acid,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,1
214,HMDB0000228,Phenol,OC1=CC=CC=C1,1
215,HMDB0000226,Orotic acid,OC(=O)C1=CC(=O)NC(=O)N1,1
216,HMDB0000224,O-Phosphoethanolamine,NCCOP(O)(O)=O,1
217,HMDB0000220,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,1
218,HMDB0000214,Ornithine,NCCC[C@H](N)C(O)=O,1
219,HMDB0000210,Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,1
220,HMDB0000209,Phenylacetic acid,OC(=O)CC1=CC=CC=C1,1
221,HMDB0000201,L-Acetylcarnitine,CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
222,HMDB0000195,Inosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,1
223,HMDB0000191,L-Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,1
224,HMDB0000292,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1,1
225,HMDB0000296,Uridine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,1
226,HMDB0000299,Xanthosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O,1
227,HMDB0000477,"7Z,10Z-Hexadecadienoic acid",CCCCC\C=C/C\C=C/CCCCCC(O)=O,1
228,HMDB0000555,3-Methyladipic acid,C[C@@H](CCC(O)=O)CC(O)=O,1
229,HMDB0000535,Caproic acid,CCCCCC(O)=O,1
