hmdb_id,metabolite,smiles,status
HMDB0001491,Pyridoxal 5'-phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,ok
HMDB0001496,7alpha-Hydroxycholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,ok
HMDB0001548,D-Ribose 5-phosphate,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,ok
HMDB0001659,Acetone,CC(C)=O,ok
HMDB0001844,Methylsuccinic acid,C[C@@H](CC(O)=O)C(O)=O,ok
HMDB0001857,"1,3-Dimethyluric acid",CN1C2=C(NC(=O)N2)C(=O)N(C)C1=O,ok
HMDB0001858,p-Cresol,CC1=CC=C(O)C=C1,ok
HMDB0001873,Isobutyric acid,CC(C)C(O)=O,ok
HMDB0001875,Methanol,CO,ok
HMDB0001906,2-Aminoisobutyric acid,CC(C)(N)C(O)=O,ok
HMDB0001960,Tin,[SnH4+4],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0001989,Tungsten,[W+4],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0001993,7a-Hydroxy-cholestene-3-one,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,ok
HMDB0002012,Ubiquinone-1,COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O,ok
HMDB0002103,27-Hydroxycholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC[C@@H](C)CO,ok
HMDB0002174,Cobalamin,[H][C@]12[C@H](CC(N)=O)[C@@]3(C)CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@H]4[C@@H](O)[C@H](O[C@@H]4CO)N4C=[N+](C5=CC(C)=C(C)C=C45)[Co--]456N1C3=C(C)C1=[N+]4C(=CC3=[N+]5C(=C(C)C4=[N+]6[C@]2(C)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O,failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0002175,Silicon,[Si+4],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0002176,Ethylmethylacetic acid,CCC(C)C(O)=O,ok
HMDB0002179,Peroxynitrite,OON=O,ok
HMDB0002196,Bismuth,[Bi+3],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0002199,Desaminotyrosine,OC(=O)CCC1=CC=C(O)C=C1,ok
HMDB0002303,Dimethylsulfide,CSC,ok
HMDB0002322,Cadaverine,NCCCCCN,ok
HMDB0002457,Nickel,[Ni++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0002503,Vanadium,[V+3],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0002714,Methane,C,failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0002789,Zeaxanthin,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,ok
HMDB0002802,Cortisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,ok
HMDB0002886,6-Keto-prostaglandin F1a,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC(=O)CCCCC(O)=O,ok
HMDB0002939,Methyl isobutyl ketone,CC(C)CC(C)=O,ok
HMDB0003000,Lycopene,CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCC=C(C)C,ok
HMDB0003119,Benzyl alcohol,OCC1=CC=CC=C1,ok
HMDB0003227,Methanethiol,CS,ok
HMDB0003233,Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,ok
HMDB0003243,Acetoin,CC(O)C(C)=O,ok
HMDB0003315,Cyclohexanone,O=C1CCCCC1,ok
HMDB0003334,Symmetric dimethylarginine,CN\C(NCCC[C@H](N)C(O)=O)=N/C,ok
HMDB0003337,Oxidized glutathione,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,ok
HMDB0003339,D-Glutamic acid,N[C@H](CCC(O)=O)C(O)=O,ok
HMDB0003345,alpha-D-Glucose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,ok
HMDB0003355,5-Aminopentanoic acid,NCCCCC(O)=O,ok
HMDB0003366,Propanal,CCC=O,ok
